layer,left,rho_h,right
fc1,q,0.9999999999999999,q
fc1,q,0.2750117179450528,s
fc1,q,0.0009107450372360506,r
fc1,s,0.2750117179450528,q
fc1,s,0.9999999999999999,s
fc1,s,0.06046936737038954,r
fc1,r,0.0009107450372360506,q
fc1,r,0.06046936737038954,s
fc1,r,1.0000000000000002,r
fc2,q,1.0000000000000002,q
fc2,q,-0.08567580538660104,s
fc2,q,0.0015369783005142518,r
fc2,s,-0.08567580538660104,q
fc2,s,1.0000000000000002,s
fc2,s,0.05430192501032746,r
fc2,r,0.0015369783005142518,q
fc2,r,0.05430192501032746,s
fc2,r,1.0000000000000002,r
head,q,1.0000000000000002,q
head,q,-0.1536470056768307,s
head,q,0.008602048309289468,r
head,s,-0.1536470056768307,q
head,s,1.0,s
head,s,0.08514524654266284,r
head,r,0.008602048309289468,q
head,r,0.08514524654266284,s
head,r,1.0000000000000002,r
