family,n,spearman_rho,x,y
additivity,18,0.12487100103199172,abs_rho_h,abs_additivity_error
additivity_signed,18,0.2714138286893705,rho_h,additivity_error
real_ppl,18,0.2941176470588235,abs_rho_h,ppl_degradation_pair
real_zero_shot,18,0.11803342130469503,abs_rho_h,zero_shot_accuracy_degradation_pair
taylor,18,-0.05263157894736842,taylor_predicted_loss_delta,loss_degradation_pair
frobenius_baseline,18,0.12899896800825592,frobenius_delta_sum,loss_degradation_pair
parameter_cosine_baseline,18,0.24458204334365322,abs_parameter_cosine,abs_additivity_error
activation_reconstruction_baseline,18,-0.02373581011351909,activation_reconstruction_sum,loss_degradation_pair
trace_only_baseline,18,-0.15170278637770895,trace_only_cost,loss_degradation_pair
order_gap,12,0.006993006993006993,max_abs_conditional_hessian_overlap,abs_loss_gap
order_gap_r_first_overlap,12,0.2517482517482518,abs_r_first_conditional_hessian_overlap,abs_loss_gap
order_gap_non_r_first_overlap,12,0.006993006993006993,abs_non_r_first_conditional_hessian_overlap,abs_loss_gap
spectrum_order_entropy,12,-0.46853146853146854,abs_first_spectral_entropy_delta,abs_loss_gap
spectrum_order_top1,12,-0.32167832167832167,abs_first_top1_energy_delta,abs_loss_gap
spectrum_order_stable_rank,12,0.055944055944055944,abs_first_stable_rank_delta,abs_loss_gap
order_disagreement,12,-0.08391608391608392,final_weight_disagreement,abs_loss_gap
