accuracy,examples,layer,pair,scope,status,strategy,task
0.375,8,gpt_neox.layers.0.mlp.dense_4h_to_h,qs,additivity_pair,ok,,arc_easy
0.25,8,gpt_neox.layers.0.mlp.dense_4h_to_h,qs,additivity_pair,ok,,hellaswag
0.5,8,gpt_neox.layers.0.mlp.dense_4h_to_h,qr,additivity_pair,ok,,arc_easy
0.125,8,gpt_neox.layers.0.mlp.dense_4h_to_h,qr,additivity_pair,ok,,hellaswag
0.375,8,gpt_neox.layers.0.mlp.dense_4h_to_h,sr,additivity_pair,ok,,arc_easy
0.125,8,gpt_neox.layers.0.mlp.dense_4h_to_h,sr,additivity_pair,ok,,hellaswag
0.5,8,gpt_neox.layers.0.mlp.dense_h_to_4h,qs,additivity_pair,ok,,arc_easy
0.125,8,gpt_neox.layers.0.mlp.dense_h_to_4h,qs,additivity_pair,ok,,hellaswag
0.25,8,gpt_neox.layers.0.mlp.dense_h_to_4h,qr,additivity_pair,ok,,arc_easy
0.125,8,gpt_neox.layers.0.mlp.dense_h_to_4h,qr,additivity_pair,ok,,hellaswag
0.25,8,gpt_neox.layers.0.mlp.dense_h_to_4h,sr,additivity_pair,ok,,arc_easy
0.125,8,gpt_neox.layers.0.mlp.dense_h_to_4h,sr,additivity_pair,ok,,hellaswag
0.375,8,gpt_neox.layers.3.mlp.dense_4h_to_h,qs,additivity_pair,ok,,arc_easy
0.125,8,gpt_neox.layers.3.mlp.dense_4h_to_h,qs,additivity_pair,ok,,hellaswag
0.375,8,gpt_neox.layers.3.mlp.dense_4h_to_h,qr,additivity_pair,ok,,arc_easy
0.125,8,gpt_neox.layers.3.mlp.dense_4h_to_h,qr,additivity_pair,ok,,hellaswag
0.375,8,gpt_neox.layers.3.mlp.dense_4h_to_h,sr,additivity_pair,ok,,arc_easy
0.125,8,gpt_neox.layers.3.mlp.dense_4h_to_h,sr,additivity_pair,ok,,hellaswag
0.5,8,gpt_neox.layers.3.mlp.dense_h_to_4h,qs,additivity_pair,ok,,arc_easy
0.125,8,gpt_neox.layers.3.mlp.dense_h_to_4h,qs,additivity_pair,ok,,hellaswag
0.375,8,gpt_neox.layers.3.mlp.dense_h_to_4h,qr,additivity_pair,ok,,arc_easy
0.125,8,gpt_neox.layers.3.mlp.dense_h_to_4h,qr,additivity_pair,ok,,hellaswag
0.5,8,gpt_neox.layers.3.mlp.dense_h_to_4h,sr,additivity_pair,ok,,arc_easy
0.125,8,gpt_neox.layers.3.mlp.dense_h_to_4h,sr,additivity_pair,ok,,hellaswag
0.375,8,gpt_neox.layers.5.mlp.dense_4h_to_h,qs,additivity_pair,ok,,arc_easy
0.125,8,gpt_neox.layers.5.mlp.dense_4h_to_h,qs,additivity_pair,ok,,hellaswag
0.5,8,gpt_neox.layers.5.mlp.dense_4h_to_h,qr,additivity_pair,ok,,arc_easy
0.125,8,gpt_neox.layers.5.mlp.dense_4h_to_h,qr,additivity_pair,ok,,hellaswag
0.375,8,gpt_neox.layers.5.mlp.dense_4h_to_h,sr,additivity_pair,ok,,arc_easy
0.125,8,gpt_neox.layers.5.mlp.dense_4h_to_h,sr,additivity_pair,ok,,hellaswag
0.5,8,gpt_neox.layers.5.mlp.dense_h_to_4h,qs,additivity_pair,ok,,arc_easy
0.125,8,gpt_neox.layers.5.mlp.dense_h_to_4h,qs,additivity_pair,ok,,hellaswag
0.5,8,gpt_neox.layers.5.mlp.dense_h_to_4h,qr,additivity_pair,ok,,arc_easy
0.25,8,gpt_neox.layers.5.mlp.dense_h_to_4h,qr,additivity_pair,ok,,hellaswag
0.625,8,gpt_neox.layers.5.mlp.dense_h_to_4h,sr,additivity_pair,ok,,arc_easy
0.25,8,gpt_neox.layers.5.mlp.dense_h_to_4h,sr,additivity_pair,ok,,hellaswag
0.0,8,,,strategy,ok,fixed_qsr_naive,arc_easy
0.125,8,,,strategy,ok,fixed_qsr_naive,hellaswag
0.25,8,,,strategy,ok,fixed_qsr_default,arc_easy
0.125,8,,,strategy,ok,fixed_qsr_default,hellaswag
0.375,8,,,strategy,ok,slim_like_srq_proxy,arc_easy
0.125,8,,,strategy,ok,slim_like_srq_proxy,hellaswag
0.375,8,,,strategy,ok,hessian_layerwise,arc_easy
0.125,8,,,strategy,ok,hessian_layerwise,hellaswag
