activation_rows,input_dim,layer,layer_short,mean_diag,trace
1024,512,gpt_neox.layers.0.attention.dense,L0:dense,0.06308142095804214,32.29768753051758
1024,512,gpt_neox.layers.0.attention.query_key_value,L0:query_key_value,0.974219560623169,498.8004455566406
1024,2048,gpt_neox.layers.0.mlp.dense_4h_to_h,L0:dense_4h_to_h,0.022965475916862488,47.033302307128906
1024,512,gpt_neox.layers.0.mlp.dense_h_to_4h,L0:dense_h_to_4h,0.9327987432479858,477.59295654296875
1024,512,gpt_neox.layers.3.attention.dense,L3:dense,0.05892530828714371,30.169757843017578
1024,512,gpt_neox.layers.3.attention.query_key_value,L3:query_key_value,2.810189962387085,1438.8172607421875
1024,2048,gpt_neox.layers.3.mlp.dense_4h_to_h,L3:dense_4h_to_h,0.09412354975938797,192.76502990722656
1024,512,gpt_neox.layers.3.mlp.dense_h_to_4h,L3:dense_h_to_4h,1.3353136777877808,683.6805419921875
1024,512,gpt_neox.layers.5.attention.dense,L5:dense,0.5943601727485657,304.3124084472656
1024,512,gpt_neox.layers.5.attention.query_key_value,L5:query_key_value,56.47373962402344,28914.556640625
1024,2048,gpt_neox.layers.5.mlp.dense_4h_to_h,L5:dense_4h_to_h,0.4523267149925232,926.3651123046875
1024,512,gpt_neox.layers.5.mlp.dense_h_to_4h,L5:dense_h_to_4h,1.9790927171707153,1013.2955322265625
